service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF1-36-453-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-36-454-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-36-455-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-36-456-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-36-457-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-36-458-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-36-459-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-38-418-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-419-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-421-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-423-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-38-424-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-38-425-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-460-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-461-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-462-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-463-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-465-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-467-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-38-468-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-469-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-38-476-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-40-683-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-21-670-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF14-21-693-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF14-24-475-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-24-481-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-24-483-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-24-485-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-24-486-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-24-487-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-24-488-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-24-489-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-43-477-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-43-478-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-43-479-aus","1","1","1","1","1","0","0","20251201","20260301"
