stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"10234","10234","Ballarat St/Francis St","-37.82111687","144.89013589","","","0","Level 0",""
"10235","10235","Bunninyong St/Francis St","-37.82081560","144.88740663","","","0","Level 0",""
"10237","10237","271 Narre Warren North Rd","-37.99940239","145.31201518","","","0","Level 0",""
"10238","10238","Hansen Reserve/Roberts St","-37.80522521","144.87088226","","","0","Level 0",""
"10239","10239","Indwe St/Roberts St","-37.80318720","144.87130424","","","0","Level 0",""
"1024","1024","Merrill Dr/McDonalds Rd","-37.64648814","145.04606576","","","0","Level 0",""
"10240","10240","Sunshine Rd/Roberts St","-37.80113668","144.87153348","","","0","Level 0",""
"10241","10241","Stradbroke St/Sunshine Rd","-37.80152754","144.87921119","","","0","Level 0",""
"10242","10242","West Footscray Station/Sunshine Rd","-37.80235130","144.88342397","","","0","Level 0",""
"10243","10243","Ross St/Bridge St","-37.83424107","144.94018859","","","0","Level 0",""
"10244","10244","Station St/Bridge St","-37.83543288","144.94134852","","","0","Level 0",""
"10245","10245","Bay Street Shops/Bridge St","-37.83674885","144.94342543","","","0","Level 0",""
"10246","10246","Cruikshank St/Liardet St","-37.84030808","144.94495154","","","0","Level 0",""
"10247","10247","Bridport St/Richardson St","-37.84223719","144.94860257","","","0","Level 0",""
"10248","10248","Albert Park Shops/Richardson St","-37.84410384","144.95177823","","","0","Level 0",""
"10249","10249","Kerferd Rd/Richardson St","-37.84628376","144.95535451","","","0","Level 0",""
"1025","1025","Meadow Glen Dr/McDonalds Rd","-37.64712291","145.05175017","","","0","Level 0",""
"10250","10250","Middle Park PS/Richardson St","-37.84754314","144.95781993","","","0","Level 0",""
"10251","10251","Wright St/Richardson St","-37.84814049","144.95900810","","","0","Level 0",""
"10252","10252","Nimmo St/Richardson St","-37.84986453","144.96229048","","","0","Level 0",""
"10253","10253","Armstrong St/Richardson St","-37.85065551","144.96373480","","","0","Level 0",""
"10254","10254","Armstrong St/Danks St","-37.85312230","144.96255311","","","0","Level 0",""
"10255","10255","Langridge St/Patterson St","-37.85483448","144.96567700","","","0","Level 0",""
"10256","10256","Fraser St/Park St","-37.85549678","144.96697723","","","0","Level 0",""
"10257","10257","Jacoby Reserve/Park St","-37.85754683","144.97088768","","","0","Level 0",""
"10258","10258","Sarnia Ct/Kurrajong Rd","-38.00222626","145.31286155","","","0","Level 0",""
"10259","10259","High St/Memorial Ave","-37.64487313","145.02808747","","","0","Level 0",""
"1026","1026","Bridle Ct/Meadow Glen Dr","-37.64604139","145.05120040","","","0","Level 0",""
"10260","10260","Watermoor Ave/Eycot St","-37.83735378","145.30367027","","","0","Level 0",""
"10261","10261","Watermoor Ave/Rendcomb St","-37.83639126","145.30441957","","","0","Level 0",""
"10262","10262","Bibury Ct/Rendcomb St","-37.83536005","145.30665902","","","0","Level 0",""
"10263","10263","Collier Rd/Rendcomb St","-37.83401866","145.30675787","","","0","Level 0",""
"10264","10264","Watermoor Ave/Collier Rd","-37.83334646","145.30513697","","","0","Level 0",""
"10265","10265","Colchester Rd/Collier Rd","-37.83279760","145.30269515","","","0","Level 0",""
"10266","10266","Colchester Rd/Allambanan Dr","-37.83316796","145.30150492","","","0","Level 0",""
"10267","10267","Toolimerin Ave/Allambanan Dr","-37.83236104","145.29992127","","","0","Level 0",""
"10268","10268","Bagora Ct/Allambanan Dr","-37.83155361","145.29830358","","","0","Level 0",""
"10269","10269","Canterbury Gardens/Allambanan Dr","-37.83150580","145.29499814","","","0","Level 0",""
"1027","1027","Derby Dr/Meadow Glen Dr","-37.64383117","145.05160951","","","0","Level 0",""
"10270","10270","Aylesbury Ave/Blandford Cres","-37.83103698","145.29249780","","","0","Level 0",""
"10271","10271","Sherbourne Ave/Blandford Cres","-37.83015837","145.29281348","","","0","Level 0",""
"10272","10272","Stuart St/Blandford Cres","-37.82816332","145.29382524","","","0","Level 0",""
"10273","10273","Bayswater North PS/Stuart St","-37.82752963","145.29487378","","","0","Level 0",""
"10274","10274","Burdekin Ave/Colbury Rd","-37.82878756","145.29648099","","","0","Level 0",""
"10275","10275","Grant Dr/Burdekin Ave","-37.82773499","145.29723237","","","0","Level 0",""
"10276","10276","Leighton Rd/Burdekin Ave","-37.82563227","145.29765563","","","0","Level 0",""
"10277","10277","Anderson Cl/Burdekin Ave","-37.82466524","145.30058643","","","0","Level 0",""
"10278","10278","Colchester Rd/Burdekin Ave","-37.82631327","145.30300279","","","0","Level 0",""
"10279","10279","Canterbury Rd/Colchester Rd","-37.82379264","145.30382174","","","0","Level 0",""
"1028","1028","Glendale Ave/Derby Dr","-37.64310067","145.04830789","","","0","Level 0",""
"10283","10283","Garden St/Liverpool Rd","-37.81696549","145.31666763","","","0","Level 0",""
"10284","10284","Lade Ave/Liverpool Rd","-37.81579185","145.31652389","","","0","Level 0",""
"10285","10285","Kilsyth Sports Centre/Liverpool Rd","-37.81243309","145.31608899","","","0","Level 0",""
"10286","10286","Orchard St/Liverpool Rd","-37.81125011","145.31592275","","","0","Level 0",""
"10287","10287","Luscombe Ct/Liverpool Rd","-37.80985042","145.31572736","","","0","Level 0",""
"10288","10288","Pleasant St/Liverpool Rd","-37.80640108","145.31526050","","","0","Level 0",""
"1029","1029","Winchester Ave/Derby Dr","-37.64265420","145.04420555","","","0","Level 0",""
"10291","10291","Belvedere Dr/Swansea Rd","-37.80650079","145.35095919","","","0","Level 0",""
"10292","10292","Greenhills Ave/Cambridge Rd","-37.80354635","145.34657239","","","0","Level 0",""
"10293","10293","Emery Lane/Cambridge Rd","-37.80282742","145.34479380","","","0","Level 0",""
"10294","10294","Montrose Brickworks Flora Reserve/Cambridge Rd","-37.80155059","145.34051757","","","0","Level 0",""
"10295","10295","Acacia Ave/Cambridge Rd","-37.80122309","145.33710612","","","0","Level 0",""
"10296","10296","Alpine Way/Cambridge Rd","-37.80091029","145.33410326","","","0","Level 0",""
"10297","10297","Chittenup Bend/Overton Lea Bvd","-37.70612279","144.76569425","","","0","Level 0",""
"10298","10298","Hume Dr/Overton Lea Bvd","-37.70909565","144.76802102","","","0","Level 0",""
"10299","10299","Hume Dr/Copperfield Dr","-37.71039305","144.77086326","","","0","Level 0",""
"103","103","Nicholson St/Johnston St","-37.80026472","144.99806721","","","0","Level 0",""
"1030","1030","Northumberland Dr/Derby Dr","-37.64260985","145.04207603","","","0","Level 0",""
"10300","10300","Yellow Gum Rd/Copperfield Dr","-37.71387234","144.77185932","","","0","Level 0",""
"10301","10301","Copperfield College/Copperfield Dr","-37.71860226","144.77084407","","","0","Level 0",""
"10307","10307","Rex St/Taylors Rd","-37.72686198","144.77636004","","","0","Level 0",""
"10308","10308","Longfellow Dr/Taylors Rd","-37.72661222","144.77410971","","","0","Level 0",""
"1031","1031","Scarborough Rd/McDonalds Rd","-37.64543964","145.03503144","","","0","Level 0",""
"10315","10315","Rialto St/Main Rd West","-37.74164593","144.77614459","","","0","Level 0",""
"10316","10316","Kings Rd/Main Rd West","-37.74212071","144.78029512","","","0","Level 0",""
"10317","10317","Buchanan St/Main Rd West","-37.74249035","144.78365448","","","0","Level 0",""
"10318","10318","Cleveland St/Main Rd West","-37.74284422","144.78713917","","","0","Level 0",""
"1032","1032","Church St/High St","-37.64552951","145.02638138","","","0","Level 0",""
"10320","10320","Carberry Dr/Gisborne-Melton Rd","-37.67319695","144.59810714","","","0","Level 0",""
"10321","10321","Riddle Dr/Centenary Ave","-37.67587984","144.59444926","","","0","Level 0",""
"10322","10322","Raleighs Rd/Centenary Ave","-37.67522817","144.58901698","","","0","Level 0",""
