stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"12259","Richmond Station","-37.82381371","144.98967145","","vic:rail:RMD","1","Level 2","7"
"12260","Richmond Station","-37.82377788","144.98968378","","vic:rail:RMD","1","Level 2","8"
"12261","Richmond Station","-37.82369700","144.98969734","","vic:rail:RMD","1","Level 2","9"
"12262","Richmond Station","-37.82366136","144.98972103","","vic:rail:RMD","1","Level 2","10"
"12263","Heyington Station","-37.83464428","145.02256785","","vic:rail:HEY","2","Level 0","1"
"12264","Heyington Station","-37.83462030","145.02275029","","vic:rail:HEY","2","Level 0","2"
"12265","Kooyong Station","-37.83997379","145.03353905","","vic:rail:KYG","1","Level 0","1"
"12266","Kooyong Station","-37.83983621","145.03339498","","vic:rail:KYG","1","Level 0","2"
"12267","Tooronga Station","-37.84913467","145.04139890","","vic:rail:TGA","1","Level 0","1"
"12268","Tooronga Station","-37.84905492","145.04148057","","vic:rail:TGA","1","Level 0","2"
"12269","Gardiner Station","-37.85288720","145.05084666","","vic:rail:GAR","1","Level 0","1"
"13713","Sandown Park Station","-37.95647719","145.16280381","","vic:rail:SNP","1","Level 0","2"
"13714","Springvale Station","-37.94922649","145.15326543","","vic:rail:SPG","1","Level -1","1"
"13715","Springvale Station","-37.94916432","145.15332389","","vic:rail:SPG","1","Level -1","2"
"13716","Westall Station","-37.93797487","145.13809465","","vic:rail:WTL","1","Level 1","1"
"13717","Westall Station","-37.93790335","145.13813059","","vic:rail:WTL","1","Level 1","2"
"13718","Clayton Station","-37.92473123","145.12076066","","vic:rail:CLA","1","Level 1","1"
"13719","Clayton Station","-37.92476079","145.12091918","","vic:rail:CLA","1","Level 1","2"
"13720","Huntingdale Station","-37.91107194","145.10239704","","vic:rail:HUN","1","Level 0","1"
"13721","Huntingdale Station","-37.91102782","145.10245504","","vic:rail:HUN","1","Level 0","2"
"13722","Oakleigh Station","-37.90024252","145.08809514","","vic:rail:OAK","1","Level 1","1"
"13723","Oakleigh Station","-37.90030100","145.08836657","","vic:rail:OAK","1","Level 1","2"
"13725","Hughesdale Station","-37.89402172","145.07576971","","vic:rail:HUG","1","Level 1","1"
"13726","Hughesdale Station","-37.89396786","145.07578248","","vic:rail:HUG","1","Level 1","2"
"13727","Murrumbeena Station","-37.89023379","145.06733983","","vic:rail:MRB","1","Level 1","1"
"13728","Murrumbeena Station","-37.89015328","145.06737605","","vic:rail:MRB","1","Level 1","2"
"13729","Carnegie Station","-37.88624955","145.05851800","","vic:rail:CNE","1","Level 1","1"
"13730","Carnegie Station","-37.88617805","145.05855399","","vic:rail:CNE","1","Level 1","2"
"13731","Werribee Station","-37.89935891","144.66106176","","vic:rail:WER","1","Level 0","1"
"13732","Werribee Station","-37.89948611","144.66111459","","vic:rail:WER","1","Level 0","2"
"13733","Werribee Station","-37.89986024","144.66044316","","vic:rail:WER","1","Level 0","3"
"13734","Hoppers Crossing Station","-37.88330976","144.70082882","","vic:rail:HCG","1","Level 0","1"
"13735","Hoppers Crossing Station","-37.88339148","144.70086039","","vic:rail:HCG","1","Level 0","2"
"13736","Laverton Station","-37.86373711","144.77203567","","vic:rail:LAV","1","Level 0","1"
"13737","Laverton Station","-37.86382718","144.77203296","","vic:rail:LAV","1","Level 0","2"
"13738","Aircraft Station","-37.86670408","144.76028358","","vic:rail:ACF","1","Level 0","1"
"13739","Aircraft Station","-37.86674932","144.76029357","","vic:rail:ACF","1","Level 0","2"
"13740","Westona Station","-37.86521907","144.81406027","","vic:rail:WTO","1","Level 0","1"
"13741","Westona Station","-37.86517404","144.81406160","","vic:rail:WTO","1","Level 0","2"
"13742","Altona Station","-37.86715283","144.82943997","","vic:rail:ALT","1","Level 0","1"
"13743","Seaholme Station","-37.86782554","144.84102642","","vic:rail:SHE","1","Level 0","1"
"13744","Westgarth Station","-37.78057836","144.99939329","","vic:rail:WTG","1","Level 0","1"
"13745","Westgarth Station","-37.78052277","144.99930395","","vic:rail:WTG","1","Level 0","2"
